date,month,season,average_humidity,average_rainfall_mm,temperature_celsius,disease_risk_factor,historical_outbreak_cases,season_numeric
2024-01-01,1,winter,60,50,34.229430698613825,0.3,10,1
2024-01-31,1,winter,60,50,25.577681713149655,0.3,9,1
2024-03-01,3,summer,70,100,20.856712786974295,0.5,7,2
2024-03-31,3,summer,70,100,33.51911865856208,0.5,8,2
2024-04-30,4,summer,70,100,28.307297536889166,0.5,10,2
2024-05-30,5,summer,70,100,25.101303485590755,0.5,7,2
2024-06-29,6,monsoon,85,450,21.13135996121847,0.8,11,3
2024-07-29,7,monsoon,85,450,29.77798479870443,0.8,16,3
2024-08-28,8,monsoon,85,450,30.726276961155918,0.8,16,3
2024-09-27,9,monsoon,85,450,25.854555753469427,0.8,20,3
2024-10-27,10,post_monsoon,75,150,30.75586768504143,0.6,10,2
2024-11-26,11,post_monsoon,75,150,25.393893717234175,0.6,15,2
2024-12-26,12,winter,60,50,31.394838403461538,0.3,4,1
2025-01-25,1,winter,60,50,29.126664255235138,0.3,6,1
2025-02-24,2,winter,60,50,22.157008610428118,0.3,11,1
2025-03-26,3,summer,70,100,29.92874618217023,0.5,7,2
2025-04-25,4,summer,70,100,33.45485300729175,0.5,12,2
2025-05-25,5,summer,70,100,24.905278831526033,0.5,11,2
2025-06-24,6,monsoon,85,450,31.74758019837425,0.8,6,3
2025-07-24,7,monsoon,85,450,27.450185837084547,0.8,13,3
2025-08-23,8,monsoon,85,450,20.3189394934267,0.8,15,3
2025-09-22,9,monsoon,85,450,25.725902990720414,0.8,17,3
2025-10-22,10,post_monsoon,75,150,22.759676598471174,0.6,11,2
2025-11-21,11,post_monsoon,75,150,24.117733503263455,0.6,12,2
